A,B,C
41,47,1927
33,44,1452
81,64,5184
14,42,588
1,42,42
65,66,4290
87,7,609
99,21,2079
53,47,2491
74,76,5624
4798,2315,11107370
99,24,2376
16,90,1440
641,512,328192a
62,64,3968
36,31,1116
36,93,3348
59,75,4425
94,46,4324
34,14,476
20,3,60
88,52,4576
41,83,3403
42,32,1344
8,29,232
22,90,1980
94,56,5264
856,-4894,-4189264
64,10,640
4,97,388
48,31,1488
13,74,962
59,79,4661
58,41,2378
9,20,180
97,92,8924
9,8,72
485,28,13580
5,484,2420
83,36,2988
61,97,5917
63,10,630
4,72,288
49,5465,267785
50,10,500
33,90,2970
60,18,1080
77,81,6237
48,48,2304
7,41,287
45,22,990
-5648,-4865,27477520
76,93,7068
4,9,36
26,71,1846
12,12,144
40,98,3920
57,35,1995
97,40,3880
26,13,338
58,25,1450
21,79,1659
14,91,1274
66,90,5940
489,21,10269
51,73,3723
22,22,484
10,14,140
34,34,1156
-46846,20,-936920
42,425,17850
7,20,140
68,71,4828
62,37,2294
56,16,896
86,83,7138
23,165,3795
53,83,4399
91,12,1092
10,32,320
37,77,2849
16,46,736
9,11,99
20,25,500
12,76,912
57,69,3933
25,24,600
132,42,5544
13,98,1274
984,24,23616
100,49,4900
37,76,2812
71,3,213
9,-5,-45
41,12,492
85,62,5270
4,24,96
4894,2,9788
96,87,8352
93,38,3534
80,28,2240
44,9,396
15,98,1470
561,44,24684
16,59,944
52,55,2860
17,14,238
12,894894,10738728
57,49,2793
17,2,34
26,99,2574
28,31,868
87,70,6090
15,18,270
2,57,114
84,42,3528
100,57,5700
97,93,9021
23,3,69
31,33,1023
39,50,1950
29,57,1653
19,72,1368
51,74,3774
10,39,390
89,515,45835
48,28,1344
546561,2,1093122
100,65,6500
61,12,732
82,94,7708
42,51,2142
1,98789,98789
80,57,4560
44,77,3388
0,83,0
68,28,1904
44,30,1320
18,2,36
79,43,3397
51,95,4845
38,48,1824
46,34,1564
5,2,10
93,49,4557
3578,1,1a
49,89,4361
36,489,17604
945,165,155925
17,51,867
65,13,845
50,6,300
18,21,378
21,25,525
51,8,408
88,83,7304
9,38,342
17,1,17
16,4,64
#,8,#VALUE!
83,27,2241
2,22,44
52,62,3224
96,96,9216
94,498,46812
4,16,64
97,1,97
84,37,3108
72,91,6552
83,57,4731
2,-85498,-170996
47,80,3760
321,894,286974
44,74,3256
37,6,222
70,88,6160
67,61,4087
56,85,4760
53,39,2067
15,93,1395
33,94,3102
63,15,945
-195616,-3,586848
25,18,450
6,36,216
43,73,3139
98,12,1176
49,71,3479
35,15,525
84,15,1260
25,1,25
93,82,7626
88,54,4752
1,88,88
90,26,2340
52,43,2236
32,65,2080
2,78,156
27,64,1728
69,19,1311
48,92,4416
87,654,56898
39,97,3783
98,21,2058
84,74,6216
26,73,1898
85,41,3485
4984,2,9968
18,82,1476
51,56,2856
49849,25,1246225
71,87,6177
79,69,5451
14,33,462
92,76,6992
73,66,4818
18,15,270
44,83,3652
20,41,820
85,9,765
69,64,4416
56,9,504
97,89,8633
15,60,900
83,67,5561
76,63,4788
90,77,6930
4,414,1656
70,69,4830
71,85,6035
74,42,3108
45,12,540
5646,798798,4510013508
21,14,294
88,75,6600
94,83,7802
95,14,1330
14,5,70
88,34,2992
68,26,1768
99,18,1782
42,8,336
75,6,450
59,14,826
57,52,2964
15,61,915
2,856,1712
56,77,4312
62,48,2976
79,96,7584
98,95,9310
16,949,15184
54,83,4482
86,95,8170
11,83,913
84,2,168
3,41,123
98,30,2940
19,60,1140
40,5,200
16,69,1104
2,40,80
9,24,216
5465,489,2672385
34,21,714
50,36,1800
3825,484,1851300
57,64,3648
5,24,120
43,76,3268
18,57,1026
42,64,2688
28,55,1540
53,68,3604
43,71,3053
4654,16,74464
74,96,7104
1651,2,3302
95,48,4560
94,59,5546
63,80,5040
92,86,7912
53,89,4717
58,29,1682
44,46,2024
321,156,50076
15,9,135
86,81,6966
92,11,1012
98,73,7154
94,71,6674
46,20,920
52,19,988
84,21,1764
71,38,2698
68,27,1836
64,94,6016
14,100,1400
42,83,3486
-46846,0,0
63,18,1134
28,61,1708
2,46,92
98,98,9604
651,8,5208
25,321,8025
12894,-2561,-33021534
23,48,1104
83,20,1660
7,897,6279
-151,6489,-979839
6,96,576
98,15,1470
81,79,6399
1,74,74
96,81,7776
81,49,3969
864,654,565056
10,72,720
4,651,2604
81,55,4455
23,55,1265
121,24,2904
11,87,957
28,564,15792
89,56,4984
71,7,497
15,78,1170
95,76,7220
42,56,2352
97,10,970
56,69,3864
4984,14,69776
41,3,123
90,17,1530
12,23,276
12,21,252
49,47,2303
1515,17,25755
9168,49,449232
57,55,3135
83,97,8051
46,87,4002
67,77,5159
84,26,2184
93,65,6045
18,27,486
8,32,256
87,9,783
4848,4894,23726112
101,55,5555
30,60,1800
71,77,5467
16,26,416e
77,41,3157
86,26,2236
77,20,1540
43,15,645
40,12,480
6,56,336
4,4,16
62,39,2418
13,32,416
46,13,598
36,25,900
53,50,2650
54,353,19062
46,79,3634
41,35,1435
48,18,864
44,34,1496
58,21,1218
69,54,3726
81,76,6156
82,6,492
25,68,1700
65,81,5265
41685,14,583590
44,24,1056
49,89,4361
61,8,488
68,63,4284
66,6,396
132,24,3168
49,92,4508
161,45,7245
32,49,1568
10,489,4890
37,63,2331
516,8,4128
8,54,432
28,86,2408
42,20,840
21,10,210
24,451,10824
41,63,2583
85,24,2040
651,32,20832
99,22,2178
96,11,1056
10,85,850
48,67,3216
50,49,2450
12,81,972
174,896,155904
6,2,12
5465,156,852540
12,24,288
47,5,235
81,63,5103
80,99,7920
42,61,2562
14,84,1176
15,69,1035
20,84,1680
75,56,4200
71,22,1562
8,28,224
95,66,6270
87,63,5481
44,98,4312
74,26,1924
70,31,2170
98,67,6566
16,33,528
15,14,210
24,27,648
67,38,2546
33,82,2706
17,15,255
18,66,1188
97,79,7663
89,62,5518
9,848,7632
25,1,25
8,95,760
4,92,368
47,81,3807
9498,21,199458
14,24,336
11,66,726
86,59,5074
91,29,2639
1,851,851
3587,55,197285
1,14,14
88,27,2376
27,80,2160
515,4,2060
70,33,2310
98,59,5782
33,71,2343
75,68,5100
31,40,1240
93,56,5208
174,98,17052
84,72,6048
52,15,780
65,44,2860
77,54,4158
985,894,880590
15,848,12720
63,62,3906
59,81,4779
10,26,260
19,83,1577
14,101,1414
93,84,7812
18,,0
91,71,6461
99,25,2475
1,4,4
33,99,3267
59,2,118
43,92,3956
61,7,427
22,51,1122
70,44,3080
54,19,1026
7,42,294
11,94,1034
88,29,2552
58,68,3944
88,15,1320
9,98,882
73,77,5621
18,21,378
15,4798,71970
38,25,950
27,27,729
89,61,5429
12,30,360
12,8549,102588
17,25,425
18,39,702
49,80,3920
489,0,0
53,20,1060
86,71,6106
23,90,2070
9848,98,965104
3123,1,3123
83,35,2905
548,949,520052
19,68,1292
985,4984,4909240
61,78,4758
90,45,4050
62,3,186
-516,74,-38184
62,7,434
546561,98,53562978
31,84,2604
35,11,385
92,5,460
3,55,165
494,8,3952
83,16,1328
61,58,3538
1651,2,3302
32,561,17952
40,66,2640
39,4,156
9459,654,6186186
96,27,2592
63,91,5733
70,53,3710
80,24,1920
21,6,126
95,40,3800
6516,14,91224
15,494,7410
76,61,4636
78,96,7488
9,58,522
94,41,3854
20,55,1100
25,14,350
35,90,3150
5,68,340
72,63,4536
7,46,322
24,62,1488
62,72,4464
14,15,210
61,24,1464
44,19,836
2,114,228
98,60,5880
94,68,6392
51,29,1479
49,28,1372
25,5,125
9,,0
11,69,759
72,1,72
91,98,8918
10,24,240
#,12,#VALUE!
19,66,1254
92,45,4140
62,86,5332
37,49,1813
10,30,300
981,14,13734
8654,12,103848
70,49,3430
22,63,1386
25,20,500
94,32,3008
47,52,2444
51,849,6870a
70,91,6370
42,27,1134
489,2,978
45,48,2160
80,3,240
85,46,3910
18,3,54
16,82,1312
51,68,3468
9,91,819
50,65,3250
84,96,8064
67,65,4355
62,35,2170
86,58,4988
64,88,5632
564,24,13536
49,818,40082
72,2,144
76,35,2660
35,56,1960
32,14,448
23,89,2047
3,56,168
8,19,152
1651,7,11557
38,68,2584
51,5,255
53,41,2173
78,59,4602
78,5,390
94,87,8178
32,61,1952
985,89,87665
38,82,3116
53,17,901
8,44,352
95,86,8170
71,10,710
17,30,510
28,95,2660
93,90,8370
30,69,2070
85,73,6205
68,42,2856
40,33,1320
72,37,2664
0,7,0
89,4,356
68,15,1020
6,32,192
31,93,2883
83,32,2656
16,57,912
100,68,6800
2,79,158
21,51,1071
61,12,732
93,1,93
12,13,156
17,32,544
58,4,232
16,68,1088
984,121,119064
98,97,9506
41,76,3116
38,55,2090
38,16,608
27,34,918
15,56,840
856,0,0
94,86,8084
8,7,56
71,89,6319
82,95,7790
265,4561,1208665
54,73,3942
27,494,13338
72,49,3528
13,2,26
44,79,3476
49849,24,1196376
37,89,3293
14,25,350
14,8,112
874,94949,82985426
2,29,58
16,83,1328
21,156,3276
15,10,150
22,95,2090
2,4,8
14,12,168
59,20,1180
79,90,7110
7,8,56
94,84,7896
34,39,1326
76,84,6384
3,89,267
43,79,3397
84,1,84
84,9,756
1251,3,3753
61,80,4880
25,12,300
71,11,781
73,78,5694
10,29,290
-45864,41,-1880424
13,25,325
35,28,980
68,55,3740
12,48,576
88,9,792
69,44,3036
984,12,11808
4,19,76
81,20,1620
80,10,800
87,59,5133
24,48,1152
5,25,125
24,24,576
42,15,630
50,5,250
79,45,3555
29,22,638
7,15,105
43,69,2967
9,60,540
89,67,5963
61,81,4941
48,99,4752
14,17,238
61,79,4819
15,46,690
11,80,880
12,64,768
48,71,3408
98,62,6076
4894,2,9788
45,58,2610
30,31,930
13,35,455
185,1,185
96,55,5280
485,28,13580
50,42,2100
78,95,7410
37,83,3071
47,84,3948
97,64,6208
21,89,1869
45,65,2925
11,20,220
81,58,4698
71,96,6816
39,14,546
77,74,5698
22,81,1782
44,58,2552
100,10,1000
85,90,7650
48,76,3648
18,26,468
41,31,1271
4,181,724
31,16,496
46,19,874
76,51,3876
16,12,192
16,2,32
42,36,1512
92,38,3496
70,51,3570
65,94,6110
8656,84,727104
95,74,7030
54,13,702
24,10,240
984,2,1968
3,1,3c
56,60,3360
100,75,7500
8,92,736
14,212,2968
99,36,3564
21,70,1470
100,1,100
4,94,376
34,2,68
54,25,1350
50,85,4250
6,98,588
72,39,2808
465,#,#VALUE!
48484,156,7563504
58,35,2030
22,1561,34342
23,78,1794
56,29,1624
91,27,2457
-8417,1564,-13164188
,2,0
15,33,495
7,85,595
47,25,1175
59,53,3127
25,498,12450
56,57,3192
91,73,6643
77,63,4851
90,27,2430
70,66,4620
3,21,63
48,27,1296
26,5,130
52,27,1404
73,70,5110
26,33,858
68,39,2652
10,54,540
514,7,3598
49,54,2646
38,62,2356
18,4,72
21,69,1449
68,16,1088
984,25,24600
54,15,810
23,24,552
54,3,162
79,6,474
35,30,1050
76,45,3420
8,39,312
56,46,2576
43,23,989
36,16,576
18,93,1674
90,19,1710
32,70,2240
47,11,517
21,94,1974
9,4,36
73,38,2774
29,1,29
24,987,23688
30,42,1260
64,64,4096
-17,-894,15198
72,8,576
25,15,375
2,1,2
615,15,9225
75,30,2250
44,67,2948
20,24,480
100,0,0
64,16,1024
63,4,252
79,60,4740
20,51,1020
54,82,4428
43,31,1333
6,45,270
69,28,1932
94,88,8272
14,96,1344
55,35,1925
69,86,5934
10,4949,49490
5,21651,108255
88,35,3080
38,8,304
48,52,2496
35,39,1365
85,39,3315
50,90,4500
24,26,624
75,94,7050
564,101,56964
78,65,5070
27,74,1998
95,95,9025
949,798,757302
43,87,3741
12,12,144
23,19,437
40,26,1040
58,82,4756
17,21,357
84,62,5208
76,9,684
64,100,6400
44,60,2640
58,3,174
15,27,405
,5465,0
61,57,3477
8,15,120
25,35,875
38,92,3496
92,93,8556
38,2,76
13,13,169
56,79,4424
93,8,744
5,46,230
47,9,423
41,320,13120
83,91,7553
10,29,290
17,71,1207
64,29,1856
59,9,531
20,46,920
63,3,189
21,30,630
1,68,68
61,87,5307
8,64,512
78,2,156
44,47,2068
96,1,96
48,58,2784
44,7,308
897,29,26013
77,59,4543
44,55,2420
11,28,308
40,29,1160
98,52,5096
3,87,261
13,80,1040
17,1515,25755
70,17,1190
30,78,2340
94,94,8836
2,9,18
13,68,884
10,99,990
5,16,80
91,4,364
546561,2,1093122
19,789,14991
15,57,855
93,74,6882
94,58,5452
83,43,3569
66,40,2640
96,16,1536
63,97,6111
21,86,1806
38,65,2470
16,40,640
19,62,1178
59,54,3186
32,82,2624
12,32,384
24,29,696
42,69,2898
8,163,1304
30,77,2310
3,41,123
86,69,5934
56,31,1736
#,12,#VALUE!
97,52,5044
3,9,27
79,1,79
83,49,4067
62,29,1798
48,1,48
63,34,2142
28,7,196
73,6,438
897,51,45747
97,14,1358
60,99,5940
24,76,1824
454,15,6810
38,17,646
58,39,2262
22,57,1254
13,8,104
25,4,100
54,41,2214
21,16,336
8494,498,4230012
19,86,1634
22,40,880
49,23,1127
498,61,30378
97,62,6014
82,14,1148
77,28,2156
46,54,2484
82,33,2706
5615,8,44920
61,4,244
22,24,528
48,20,960
62,59,3658
20,12,240
86,96,8256
96,37,3552
49,15,735
76,31,2356
489,949,464061
88,33,2904
3,51,153
16,949,15184
24,43,1032
47,46,2162
71,55,3905
19,9494,180386
52,58,3016
54,57,3078
641,512,328192a
2,95,190
1516,25,37900
48,36,1728
48,40,1920
98,9,882
16,949,15184
78,64,4992
6,41,246
57,47,2679
48,41,1968
97,29,2813
12,15,180
22,88,1936
15,8,120
8498,9498,80714004
27,10,270
52,95,4940
4,15,60
81,2,162
95,27,2565
80,88,7040
88,79,6952
12,-5616,-67392
28,798,22344
54,98,5292
56,51,2856
58,28,1624
4,18,72
28,81,2268
44,94,4136
100,25,2500
50,33,1650
51,22,1122
24,51,1224
89,76,6764
14,77,1078
33,7,231
20,97,1940
33,67,2211
79,8,632
7,1,7
69,69,4761
68,99,6732
82,77,6314
74,59,4366
54,9,486
5,84,420
516,489,252324
1,48,48
89,24,2136
85,42,3570
23,100,2300
9,84,756
,21,0
17,949,16133
25,75,1875
1000,4,4000
93,41,3813
22,76,1672
71,49,3479
22,62,1364
10,11,110
8,96,768
99,60,5940
32,36,1152
10,35,350
252,1401,353052
12,91,1092
33,57,1881
25,854,21350
96,92,8832
22,1,22
17,99,1683
13,31,403
4,56,224
31,65,2015
81,89,7209
67,89,5963
78,94,7332
80,8,640
21,35,735
56,34,1904
76,10,760
48,32,1536
70,32,2240
59,67,3953
9848,26,256048
32,48,1536
19,70,1330
4,2,8
156,64894,10123464
31,45,1395
93,30,2790
11,81,891
19,50,950
26,11,286
17,2,34
63,77,4851
31,82,2542
52,96,4992
53,43,2279
4,9,36
2,96,192
24,56,1344
55,40,2200
74,55,4070
49,22,1078
224,65456,14662144
20,70,1400
5,14,70
49,49,2401
74,32,2368
47,55,2585
56,87,4872
45,789,35505
23,1651,37973
56,90,5040
87,1,87
64,27,1728
656151,24,15747624
11,3,33
21,8,168
4,1,4
1,8,8
46,31,1426
49,24,1176
50,40,2000
78,29,2262
95,1,95
5,49874,249370
65,70,4550
25,100,2500
52,14,728
50,86,4300
12,85,1020
10,3,30
90,41,3690
10,96,960
4,12,48
42,10,420
85,78,6630
29,96,2784
16,148494,2375904
21,95,1995
64,53,3392
100,34,3400
59,44,2596
25,46,1150
73,8,584
654,4848,3170592
11,16,176
39,15,585
3,9494,28482
4894,12,58728
13,87,1131
494,894,441636
55,-5616,-308880
68,2,136
5616,14,78624
86,77,6622
12,61,732
54,96,5184
67,84,5628
2,76,152
74,93,6882
8,93,744
-10,798,-7980
73,32,2336
4,59,236
70,90,6300
59,95,5605
-5648,987,-5574576
48,5,240
78,61,4758
98,8489,0c
4,50,200
15,32,480
71,61,4331
25,39,975
28,17,476
1,10,10
92,54,4968
7,58,406
9,81,729
91,4,364
72,93,6696
46,8,368
3,97,291
84,11,924
86,100,8600
56,94,5264
4984,6584,32814656
0,51,0
7,74,518
35,77,2695
5,91,455
57,18,1026
4,12,48
17,24,408
14,24,336
20,23,460
12,949,11388
90,61,5490
851616,45,38322720
52,93,4836
36,62,2232
16,15,240
22,48,1056
7,16,112
85,4,340
6,451,2706
63,22,1386
98,19,1862
91,53,4823
57,78,4446
31,75,2325
3,66,198
15,21,315
99,69,6831
44,91,4004
15,25,375
33,42,1386
69,14,966
89,7,623
62,16,992
97,30,2910
38,36,1368
77,91,7007
97,61,5917
25,88,2200
9,61,549
17,12,204
23,28,644
55,100,5500
99,68,6732
33,48,1584
75,-1,-75
50,91,4550
29,72,2088
12,69,828
18,58,1044
87,92,8004
42,97,4074
47,79,3713
73,37,2701
92,34,3128
61,51,3111
63,66,4158
12,36,432
6,25,150
71,16,1136
99,73,7227
498,52,25896
29,52,1508
27,61,1647
6,16,96
75,63,4725
1,31,31
16,949,15184
41,50,2050
11,25,275
3,8754,26262
-8445,19,-160455
70,15,1050
42,66,2772
97,63,6111
4,15,60
96,86,8256
37,4,148
78,89,6942
43,99,4257
84,14,1176
465,24,11160
76,18,1368
2,51,102
97,68,6596
3,42,126
13,38,494
60,22,1320
63,75,4725
2,17,34
8,67,536
30,564,16920
37,84,3108
82,93,7626
92,74,6808
95,50,4750
26,80,2080
19,28,532
16,70,1120
11,22,242
29,44,1276
35,66,2310
68,35,2380
-843,-8417,7095531
40,20,800
5,94,470
35,70,2450
61,414,25254
12,73,876
52,39,2028
23,15,345
29,31,899
12,24,408b
34,1,34
57,68,3876
85,37,3145
10,80,800
19,54,1026
64,85,5440
34,82,2788
48,6,288
65,54,3510
22,21,462
9,1,9
34,3,102
14,70,980
50,7,350
21,18,378
78,6,468
5,6535,32675
24,40,960
484,21,10164
22,56,1232
27,71,1917
22,47,1034
-516,74,-38184
3,60,180
25,95,2375
15,4,60
1212,6556,7945872
4,9789,100a
58,48,2784
49,32,1568
58,87,5046
-5648,-4865,27477520
87,99,8613
22,82,1804
39,99,3861
13,36,468
20,51,1020
23,36,828
949,212,201188
7,28,196
0,231,0
53,14,742
47,59,2773
512,19,9728
24,10,240
6,18,108
62,60,3720
52,82,4264
89,25,2225
851616,6541,5570420256
23,37,851
44,89,3916
494,4984,2462096
88,50,4400
24,92,2208
4,40,160
96,18,1728
65,95,6175
41,40,1640
80,92,7360
20,71,1420
28,99,2772
85,52,4420
51,20,1020
58,56,3248
500,456,228000
51,35,1785
3,40,120
87,5,435
9494,2,18988
42,30,1260
19,16,304
17,95,1615
85,67,5695
53,28,1484
26,79,2054
39,77,3003
53,85,4505
32,789,25248
76,78,5928
1,94,94
2,16,32
69,11,759
66,92,6072
16,596459,9543344
494,25,12350
81,30,2430
4,7,28
49,12,588
9,23,207
353,89,31417
46,70,3220
84,90,7560
49,40,1960
19,36,684
39,96,3744
77,13,1001
948,49,46452
33,37,1221
15,84,1260
22,91,2002
62,43,2666
44,71,3124
78,83,6474
9,789,120a
76,26,1976
15,31,465
69,26,1794
89,88,7832
21,214,4494
18,15,270
6165,53,326745
95,92,8740
37,19,703
65,86,5590
8,24,192
28,24,672
30,16,480
41,79,3239
17,0,0
26,64,1664
37,28,1036
14,872242,12211388
28,94,2632
14,27,378
95,44,4180
33,36,1188
41,22,902
65,8,520
531,1515,804465
74,9,666
154,798,122892
24,60,1440
68,46,3128
2,10,20
23,26,598
26,41,1066
75,23,1725
58,61,3538
21,29,609
4165,2,8330
23,24,552
984,7,6888
29,20,580
23,231,5313
11,40,440
63,43,2709
95,73,6935
71,66,4686
93,86,7998
14,64,896
70,92,6440
11,89,979
797,21,16737
1641,12,19692
6546,4848,31735008
25,26,650
25,984,24600
6,91,546
96,36,3456
28,32,896
79,55,4345
5,1654,20b
93,20,1860
83,78,6474
80,18,1440
65165,24,1563960
74,49,3626
55,59,3245
59,34,2006
15,23,345
651,949,617799
8,5,40
94,36,3384
1,17,17
70,40,2800
66,72,4752
20,80,1600
56,98,5488
4,77,308
31,59,1829
798,4,3192
80,50,4000
36,47,1692
651,4511,2936661
71,82,5822
85,35,2975
21,59,1239
73,56,4088
2032,84,170688
80,37,2960
38,37,1406
49,27,1323
1,62,62
12,68,816
21,63,1323
17,27,459
24,75,1800
53,84,4452
95,36,3420
59,97,5723
99,53,5247
60,58,3480
52,12,624
57,98,5586
7878,20,157560
65,56,3640
67,10,670
74,7,518
61,60,3660
82,31,2542
2,68,136
894,54,48276
19,949,18031
70,18,1260
6,82,492
25,16,400
97,75,7275
5,56,280
16,85,1360
2,3543,7086
7,15654,109578
494,4984,2462096
165,272,44880
62,46,2852
2,97,194
99,28,2772
24,18,432
51,99,5049
22,32,704
30,44,1320
31,72,2232
82,45,3690
84,13,1092
48,93,4464
37,98,3626
34,62,2108
81,98,7938
5424,1,5424
61,99,6039
38,85,3230
34,18,612
67,40,2680
-8445,19,-160455
651,17,11067
2,-85498,-170996
8,561,4488
15,34,510
21,49,1029
16,165,2640
28,12,336
23,24,552
46,40,1840
12,34,408
91,22,2002
4897,26,416e
49,44,2156
80,94,7520
100,80,8000
64,45,2880
22,12,264
0,-5646546,0
498,14,6972
93,34,3162
36,8,288
3,69,207
4594,789,3624666
89,33,2937
651,17,11067
8,38,304
22,61,1342
74,8,592
37,11,407
7,3,21c
24,58,1392
32,97,3104
63,55,3465
74,89,6586
849,89,75561
2,4897,9794
987,-5616,-5542992
98,14,1372
20,50,1000
3,89,267
38,31,1178
35,4,140
49,72,3528
42,7,294
6,20,120
68,51,3468
14,515,7210
17,84,1428
7,26,182
26,39,1014
53,59,3127
16,74,1184
4,56161,224644
71,74,5254
89,4,356
85,17,1445
63,67,4221
86,6,516
62,45,2790
46,81,3726
59,29,1711
489,489,239121
2,1515,3030
79,95,7505
44,23,1012
12,53,636
90,64,5760
11,44,484
91,11,1001
34,11,374
98,83,8134
1,1,1
96,57,5472
88,31,2728
39,32,1248
1,64,64
19,14,266
15,41,615
88,67,5896
95,41,3895
55,98,5390
98,29,2842
72,94,6768
4,9,36
95,93,8835
-12,#,#VALUE!
14,62,868
77,47,3619
97,12,1164
28,53,1484
65,40,2600
23,86,1978
52,38,1976
43,38,1634
695,17,11815
88,1,88
29,53,1537
5,1265,6325
91,8,728
7,26,182
12,31,372
30,82,2460
66,60,3960
146,41,5986
102,5615,572730
30,71,2130
1,61,61
52,31,1612
65,1,65
11,46,506
85,63,5355
90,34,3060
17,83,1411
30,26,780
498,-84,-41832
15,85,1275
36,79,2844
5,21651,108255
94,11,1034
88,7,616
32,9,288
47,66,3102
24,82,1968
32,34,1088
38,35,1330
4,11,44
56,12,672
2,949,1898
74,57,4218
9489,24,227736
54,38,2052
41,88,3608
54,80,4320
7,54,378
6945,15,104175
42,24,1008
42,489,20538
43,66,2838
34,67,2278
7,101,707
60,63,3780
69,49,3381
46,35,1610
59,45,2655
49,89,4361
514,7,3598
86,9,774
53,54,2862
85,15,1275
87,91,7917
84,86,7224
616,84,120b
6,79,474
85,31,2635
81,68,5508
36,58,2088
24,30,720
38,49,1862
54,58,3132
4984,25,124600
17,82,1394
16,63,1008
14,20,280
641,512,328192a
100,100,10000
10,95,950
83,33,2739
42,78,3276
43,64,2752
585,564,329940
11,55,605
4,320,1280
55,11,605
60,78,4680
20,40,800
76,5,380
47,8,376
89,75,6675
76,70,5320
16,93,1488
47,95,4465
5,24,120
15,52,780
515,4,2060
49,96,4704
8,62,496
27,99,2673
9,848,7632
91,37,3367
65,18,1170
82,25,2050
31,34,1054
59,89,5251
54,2,108
11,10,110
67,78,5226
28,97,2716
96,63,6048
75,89,6675
87,14,1218
16,61,976
34,31,1054
91,57,5187
19,71,1349
28,18,504
70,87,6090
99,65,6435
1,20,20
1,1,1
74,52,3848
81,43,3483
88,39,3432
87,50,4350
414,18,7452
86,30,2580
58,75,4350
5,65,325
564,17,9588
89,498,44322
9,6465,58185
90,79,7110
87,41,3567
12,797,9564
40,70,2800
5,121,605
32,71,2272
26,87,2262
77,32,2464
73,87,6351
40,10,400
89,-89,-7921
44,15,660
77,85,6545
49,89,4361
53,38,2014
489,17,8313
16,53,848
56,89,4984
50,70,3500
42,43,1806
4654,4,18616
12,39,468
22,97,2134
87,54,4698
515,11,5665
38,91,3458
3578,1,1a
15,0,0
49,596459,29226491
8,77,616
14,45,630
79,21,1659
23,57,1311
60,41,2460
31,47,1457
81,93,7533
73,14,1022
9849,24,236376
54,55,2970
6874,561,3856314
94,5,470
949,24,22776
62,73,4526
80,80,6400
46,61,2806
7,156,1092
515,4,2060
61,29,1769
50,16,800
48,694987,33359376
39,6,234
100,50,5000
48,1,48
67,59,3953
14,212,2968
20,94,1880
22,84,1848
546561,84,45911124
94,0,0
90,9,810
43,22,946
47,78,3666
9,70,630
87,8,696
8494,498,4230012
7,29,203
9,19,171
41,46,1886
83,51,4233
5,61,305
77,80,6160
60,100,6000
100,30,3000
27,58,1566
72,58,4176
58,51,2958
67,694987,46564129
36,17,612
73,99,7227
70,1,70
52,6,312
38,38,1444
34,23,782
51,43,2193
72,75,5400
5,7,35
50,4,200
414,18,7452
1,44,44
95,47,4465
5,-12,-60
9,93,837
61,23,1403
9,6,120a
88,44,3872
20,39,780
891,798,711018
80,22,1760
21,949,19929
13,27,351
8,42,336
70,25,1750
489,21,10269
51,42,2142
26,21,546
30,39,1170
44,82,3608
21,230,4830
156,15,2340
4,43,172
148494,10,1484940
2,42,84
15,13,195
5,64,320
82,83,6806
33,88,2904
67,99,6633
36,99,3564
88,82,7216
7,27,189
20,36,720
59,60,3540
9,97,873
4,61,244
-17,-894,15198
15,90,1350
41,60,2460
79,37,2923
18,94,1692
52,90,4680
98,92,9016
65,80,5200
15,21,315
36,32,1152
2,28,56
95,19,1805
6,84,504
25,9,225
48,42,2016
99,84,8316
82,76,6232
321,98,31458
46,72,3312
24,23,552
47,15,705
22,1,22
8,47,376
21,46,966
97,99,9603
5,36,180
15,24,360
54,93,5022
47,60,2820
80,56,4480
33,50,1650
43,60,2580
9,321,2889
7,38,266
94,89,8366
19,20,380
949,1561,1481389
94,54,5076
-151,10,-1510
82,85,6970
90,87,7830
21,57,1197
20,31,620
23,29,667b
12,43,516
58,98,5684
45,24,1080
20,41,820
43,3,129
63,50,3150
4984,25,124600
20,96,1920
93,98,9114
31,15,465
41,30,1230
68,93,6324
7,42,294
29,60,1740
26,77,2002
74,69,5106
25,42,1050
80,35,2800
6,12,72
48,89,4272
45,26,1170
451,-5646546,-2546592246
54,47,2538
949,98,93002
71,89,6319
87,21,1827
95,18,1710
42,68,2856
1,12,12
46,75,3450
84,21,1764
89,31,2759
95,85,8075
31,99,3069
19,49,931
984,4894,4815696
984,20,19680
52,53,2756
12,25,300
54,11,594
12,11,132
77,89,6853
16,494,7904
69,93,6417
42,31,1302
47,99,4653
42,48,2016
15,98,1470
36,71,2556
67,6,402
26,95,2470
59,16,944
67,32,2144
39,78,3042
64,92,5888
20,53,1060
5,15,75
44,18,792
57,15,855
59,10,590
58,22,1276
76,37,2812
7,61,427
79,52,4108
71,13,923
1,64,64
54,69,3726
88,22,1936
34,8,272
100,53,5300
33,93,3069
97,38,3686
18,11,198
6,84,504
84,43,3612
1,24,24
5,98,490
20,28,560
42,95,3990
34,88,2992
45,72,3240
14,46,644
4894,65,318110
16,4,64
44,22,968
25,321,8025
92,90,8280
83,8,664
96,64,6144
87,73,6351
89786,5615,504148390
62,23,1426
1,-5616,-5616
44,16,704
64,44,2816
11,33,363
36,100,3600
84,63,5292
4,1,4
18,7,126
89,86,7654
86,57,4902
5,121,605
53,64,3392
19,6556,124564
74,43,3182
1,49494,49494
24,39,936
72,78,5616
36,61,2196
17,56,952
67,3,201
6,21,126
53,100,5300
16,16,256
33,73,2409
38,21,798
1,9,9
51,98,4998
77,43,3311
17,72,1224
39,93,3627
